videoId,title,publishDate,description,viewCount,likeCount,dislikeCount,commentCount
Qe6o9j4IjTo,Q&A with Grant Sanderson (3blue1brown),2018-08-24 16:34:02,To commemorate crossing 2^20 subscribers.,657019,30631,110,2255
pQa_tWZmlGs,Why slicing a cone gives an ellipse,2018-08-01 15:13:51,"Dandelin spheres, conic sections, and a view of genius in math.",1130494,36559,497,2067
VcgJro0sTiM,Other math channels you'd enjoy,2018-06-27 16:29:07,Think Twice: https://www.youtube.com/channel/UC9yt3wz-6j19RwD5m5f6HSg,172739,10484,49,474
rB83DpBJQsE,"Divergence and curl:  The language of Maxwell's equations, fluid flow, and more",2018-06-21 18:34:59,(See below for small-but-important error correction),1967257,67769,487,2777
CfW845LNObM,The other way to visualize derivatives,2018-05-19 14:09:16,A visual for derivatives which generalizes more nicely to topics beyond calculus.,2845147,71298,1139,2882
8GPy_UMV-08,"The Wallis product for pi, proved geometrically",2018-04-20 18:59:28,A new and more circularly proof of a famous Wallis product for pi.,488596,13835,202,953
b7FxPsqfkOY,Winding numbers and domain coloring,2018-03-24 14:42:51,An algorithm for numerically solving certain 2d equations.,703843,22349,204,1430
bcPTiiiYDs8,How pi was almost 6.283185...,2018-03-14 13:05:32,"Happy pi day!  Did you know that in some of his notes, Euler used the symbol pi to represent 6.28..., before the more familiar 3.14... took off as a standard?",881470,23268,333,1398
d-o3eB9sfls,Why is pi here?  And why is it squared?  A geometric answer to the Basel problem,2018-03-02 16:23:29,"A most beautiful proof of the Basel problem, using light.",2962137,68812,1312,3424
MBnnXbOM5S4,"The more general uncertainty principle, beyond quantum",2018-02-25 00:25:00,"The Heisenberg uncertainty principle is just one specific example of a much more general, relatable, non-quantum phenomenon.",1277454,38324,425,1739
spUNpyF58BY,But what is the Fourier Transform?  A visual introduction.,2018-01-26 18:47:48,An animated introduction to the Fourier Transform.,5389489,165947,1427,6793
VvCytJvd4H0,The three utilities puzzle with math/science YouTubers,2017-12-23 16:43:38,Featuring quite a few science/math YouTubers!,712157,26982,345,2484
liL66CApESk,Q&A #2 + Net Neutrality Nuance,2017-12-14 15:57:43,Questions: http://3b1b.co/questions,139538,4620,106,331
OkmNXy7er84,The hardest problem on the hardest test,2017-12-08 15:04:57,A difficult geometry puzzle with an elegant solution.,9092044,240937,3927,15982
tIeHLnjs5U8,"Backpropagation calculus | Deep learning, chapter 4",2017-11-03 14:08:09,Brought to you by you: http://3b1b.co/nn3-thanks,1387369,29749,225,1483
Ilg3gGewQ5U,"What is backpropagation really doing? | Deep learning, chapter 3",2017-11-03 14:03:37,What's actually happening to a neural network as it learns?,2251625,41564,344,1077
IHZwWFHWa-w,"Gradient descent, how neural networks learn | Deep learning, chapter 2",2017-10-16 16:48:20,Home page: https://www.3blue1brown.com/,3373531,75178,548,2304
aircAruvnKk,"But what is a Neural Network? | Deep learning, chapter 1",2017-10-05 15:11:25,Home page: https://www.3blue1brown.com/,8608657,221164,1978,5249
MzRCDLre1b4,Some light quantum mechanics (with minutephysics),2017-09-13 14:06:26,The math of superposition and quantum states.,1370186,34871,375,1577
zwAD6dRSVyI,Thinking outside the 10-dimensional box,2017-08-11 22:41:08,Visualizing high-dimensional spheres to understand a surprising puzzle.,2541037,53075,1251,3264
3s7h2MHQtxc,Hilbert's Curve: Is infinite math useful?,2017-07-21 15:33:50,"Space-filling curves, turning visual information into audio information, and the connection between infinite and finite math (this is a re-upload of an older video which had much worse audio).",1398934,30626,450,1480
S9JGmA5_unY,How secure is 256 bit security?,2017-07-08 14:19:39,Supplement to the cryptocurrency video: How hard is it to find a 256-bit hash just by guessing and checking?  What kind of computer would that take?,1872385,61670,732,2418
bBC-nXj3Ng4,But how does bitcoin actually work?,2017-07-07 16:51:37,The math behind cryptocurrencies.,6954533,177288,2268,17248
